query,statute,label
AILA_Q1,S90,0
AILA_Q1,S95,0
AILA_Q1,S145,0
AILA_Q1,S146,0
AILA_Q1,S197,0
AILA_Q1,S179,0
AILA_Q1,S12,0
AILA_Q1,S103,0
AILA_Q1,S171,0
AILA_Q1,S49,0
AILA_Q1,S63,0
AILA_Q1,S91,0
AILA_Q1,S28,0
AILA_Q1,S96,0
AILA_Q1,S191,0
AILA_Q1,S126,0
AILA_Q1,S60,0
AILA_Q1,S113,0
AILA_Q1,S21,0
AILA_Q1,S121,0
AILA_Q1,S65,0
AILA_Q1,S175,0
AILA_Q1,S4,0
AILA_Q1,S134,0
AILA_Q1,S78,0
AILA_Q1,S92,0
AILA_Q1,S196,0
AILA_Q1,S165,0
AILA_Q1,S19,0
AILA_Q1,S102,0
AILA_Q1,S184,0
AILA_Q1,S133,0
AILA_Q1,S131,0
AILA_Q1,S144,0
AILA_Q1,S17,0
AILA_Q1,S132,0
AILA_Q1,S155,0
AILA_Q1,S35,0
AILA_Q1,S53,0
AILA_Q1,S167,0
AILA_Q1,S74,0
AILA_Q1,S137,0
AILA_Q1,S130,0
AILA_Q1,S160,0
AILA_Q1,S69,0
AILA_Q1,S104,0
AILA_Q1,S149,0
AILA_Q1,S172,0
AILA_Q1,S24,0
AILA_Q1,S139,0
AILA_Q1,S123,0
AILA_Q1,S79,0
AILA_Q1,S151,0
AILA_Q1,S87,0
AILA_Q1,S50,0
AILA_Q1,S41,0
AILA_Q1,S80,0
AILA_Q1,S1,0
AILA_Q1,S173,0
AILA_Q1,S82,0
AILA_Q1,S143,0
AILA_Q1,S188,0
AILA_Q1,S200,0
AILA_Q1,S52,1
AILA_Q1,S3,1
AILA_Q1,S166,0
AILA_Q1,S186,0
AILA_Q1,S10,1
AILA_Q1,S93,0
AILA_Q1,S36,0
AILA_Q1,S128,0
AILA_Q1,S23,0
AILA_Q1,S161,0
AILA_Q1,S97,0
AILA_Q1,S54,0
AILA_Q1,S138,0
AILA_Q1,S64,0
AILA_Q1,S125,0
AILA_Q1,S127,0
AILA_Q1,S168,0
AILA_Q1,S106,0
AILA_Q1,S55,0
AILA_Q1,S152,0
AILA_Q1,S61,0
AILA_Q1,S84,0
AILA_Q1,S182,0
AILA_Q1,S88,0
AILA_Q1,S66,0
AILA_Q1,S194,0
AILA_Q1,S195,0
AILA_Q1,S114,0
AILA_Q1,S8,0
AILA_Q1,S29,0
AILA_Q1,S183,0
AILA_Q1,S40,0
AILA_Q1,S157,0
AILA_Q1,S81,0
AILA_Q1,S73,0
AILA_Q1,S57,0
AILA_Q1,S7,0
AILA_Q1,S42,0
AILA_Q1,S56,0
AILA_Q1,S187,0
AILA_Q1,S59,0
AILA_Q1,S67,0
AILA_Q1,S108,0
AILA_Q1,S100,0
AILA_Q1,S110,0
AILA_Q1,S43,0
AILA_Q1,S9,0
AILA_Q1,S136,0
AILA_Q1,S20,0
AILA_Q1,S112,0
AILA_Q1,S135,0
AILA_Q1,S140,0
AILA_Q1,S163,0
AILA_Q1,S177,0
AILA_Q1,S170,0
AILA_Q1,S83,0
AILA_Q1,S141,0
AILA_Q1,S62,1
AILA_Q1,S33,0
AILA_Q1,S111,0
AILA_Q1,S198,0
AILA_Q1,S46,0
AILA_Q1,S14,0
AILA_Q1,S89,0
AILA_Q1,S6,0
AILA_Q1,S30,0
AILA_Q1,S101,0
AILA_Q1,S189,0
AILA_Q1,S178,0
AILA_Q1,S190,0
AILA_Q1,S122,0
AILA_Q1,S164,0
AILA_Q1,S77,0
AILA_Q1,S124,0
AILA_Q1,S105,0
AILA_Q1,S86,0
AILA_Q1,S115,0
AILA_Q1,S150,0
AILA_Q1,S5,0
AILA_Q1,S75,0
AILA_Q1,S27,0
AILA_Q1,S34,0
AILA_Q1,S48,0
AILA_Q1,S13,0
AILA_Q1,S156,0
AILA_Q1,S120,0
AILA_Q1,S85,0
AILA_Q1,S174,0
AILA_Q1,S129,0
AILA_Q1,S37,0
AILA_Q1,S181,0
AILA_Q1,S11,0
AILA_Q1,S45,0
AILA_Q1,S147,0
AILA_Q1,S109,0
AILA_Q1,S99,0
AILA_Q1,S15,0
AILA_Q1,S98,0
AILA_Q1,S94,0
AILA_Q1,S76,0
AILA_Q1,S16,0
AILA_Q1,S71,0
AILA_Q1,S116,0
AILA_Q1,S22,0
AILA_Q1,S199,0
AILA_Q1,S180,0
AILA_Q1,S39,0
AILA_Q1,S169,0
AILA_Q1,S2,0
AILA_Q1,S117,0
AILA_Q1,S119,0
AILA_Q1,S68,0
AILA_Q1,S148,0
AILA_Q1,S193,0
AILA_Q1,S31,0
AILA_Q1,S185,0
AILA_Q1,S38,0
AILA_Q1,S107,0
AILA_Q1,S26,0
AILA_Q1,S153,0
AILA_Q1,S44,0
AILA_Q1,S159,0
AILA_Q1,S51,0
AILA_Q1,S142,0
