query,case,label
AILA_Q1,C168,0
AILA_Q1,C382,0
AILA_Q1,C428,0
AILA_Q1,C949,0
AILA_Q1,C2303,0
AILA_Q1,C2700,0
AILA_Q1,C414,0
AILA_Q1,C2727,0
AILA_Q1,C357,0
AILA_Q1,C45,0
AILA_Q1,C2771,0
AILA_Q1,C2756,0
AILA_Q1,C1294,0
AILA_Q1,C861,0
AILA_Q1,C2268,0
AILA_Q1,C160,0
AILA_Q1,C1398,0
AILA_Q1,C1200,0
AILA_Q1,C517,0
AILA_Q1,C1816,0
AILA_Q1,C914,0
AILA_Q1,C1351,0
AILA_Q1,C1655,0
AILA_Q1,C1120,0
AILA_Q1,C1851,0
AILA_Q1,C1086,0
AILA_Q1,C2198,0
AILA_Q1,C2432,0
AILA_Q1,C1867,0
AILA_Q1,C48,0
AILA_Q1,C776,0
AILA_Q1,C41,0
AILA_Q1,C925,0
AILA_Q1,C2322,0
AILA_Q1,C2217,0
AILA_Q1,C262,0
AILA_Q1,C2684,0
AILA_Q1,C684,0
AILA_Q1,C431,0
AILA_Q1,C2280,0
AILA_Q1,C1754,0
AILA_Q1,C2132,0
AILA_Q1,C1235,0
AILA_Q1,C2028,0
AILA_Q1,C1779,0
AILA_Q1,C791,0
AILA_Q1,C2479,0
AILA_Q1,C616,0
AILA_Q1,C766,0
AILA_Q1,C1968,0
AILA_Q1,C2914,0
AILA_Q1,C553,0
AILA_Q1,C2093,0
AILA_Q1,C1106,0
AILA_Q1,C1417,0
AILA_Q1,C2565,0
AILA_Q1,C962,0
AILA_Q1,C2069,0
AILA_Q1,C819,0
AILA_Q1,C664,0
AILA_Q1,C2352,0
AILA_Q1,C1520,0
AILA_Q1,C926,0
AILA_Q1,C1248,0
AILA_Q1,C997,0
AILA_Q1,C668,0
AILA_Q1,C529,0
AILA_Q1,C188,0
AILA_Q1,C853,0
AILA_Q1,C879,0
AILA_Q1,C2536,0
AILA_Q1,C2726,0
AILA_Q1,C316,0
AILA_Q1,C2193,0
AILA_Q1,C1679,0
AILA_Q1,C1915,0
AILA_Q1,C2176,0
AILA_Q1,C860,0
AILA_Q1,C91,0
AILA_Q1,C1181,0
AILA_Q1,C849,0
AILA_Q1,C2147,0
AILA_Q1,C2218,0
AILA_Q1,C1334,0
AILA_Q1,C1300,0
AILA_Q1,C1957,0
AILA_Q1,C2513,0
AILA_Q1,C1717,0
AILA_Q1,C2328,0
AILA_Q1,C2261,0
AILA_Q1,C2567,0
AILA_Q1,C1354,0
AILA_Q1,C832,0
AILA_Q1,C1088,0
AILA_Q1,C680,0
AILA_Q1,C78,0
AILA_Q1,C441,0
AILA_Q1,C1542,0
AILA_Q1,C998,0
AILA_Q1,C651,0
AILA_Q1,C69,0
AILA_Q1,C1572,0
AILA_Q1,C893,0
AILA_Q1,C1099,0
AILA_Q1,C8,0
AILA_Q1,C222,0
AILA_Q1,C642,0
AILA_Q1,C780,0
AILA_Q1,C289,0
AILA_Q1,C467,0
AILA_Q1,C337,0
AILA_Q1,C2871,0
AILA_Q1,C130,0
AILA_Q1,C2145,0
AILA_Q1,C2810,0
AILA_Q1,C2732,0
AILA_Q1,C1285,0
AILA_Q1,C111,0
AILA_Q1,C659,0
AILA_Q1,C1130,0
AILA_Q1,C1427,0
AILA_Q1,C1918,0
AILA_Q1,C2029,0
AILA_Q1,C1084,0
AILA_Q1,C350,0
AILA_Q1,C1680,0
AILA_Q1,C1125,0
AILA_Q1,C2205,0
AILA_Q1,C669,0
AILA_Q1,C2275,0
AILA_Q1,C1093,0
AILA_Q1,C2832,0
AILA_Q1,C1441,0
AILA_Q1,C218,0
AILA_Q1,C1382,0
AILA_Q1,C1780,0
AILA_Q1,C1236,0
AILA_Q1,C1261,0
AILA_Q1,C145,0
AILA_Q1,C904,0
AILA_Q1,C1817,0
AILA_Q1,C2056,0
AILA_Q1,C2156,0
AILA_Q1,C2590,0
AILA_Q1,C334,0
AILA_Q1,C1207,0
AILA_Q1,C2632,0
AILA_Q1,C768,0
AILA_Q1,C2468,0
AILA_Q1,C1603,0
AILA_Q1,C1840,0
AILA_Q1,C2860,0
AILA_Q1,C219,0
AILA_Q1,C2229,0
AILA_Q1,C1848,0
AILA_Q1,C239,0
AILA_Q1,C2415,0
AILA_Q1,C2081,0
AILA_Q1,C987,0
AILA_Q1,C739,0
AILA_Q1,C826,0
AILA_Q1,C2425,0
AILA_Q1,C1942,0
AILA_Q1,C2281,0
AILA_Q1,C2419,0
AILA_Q1,C406,0
AILA_Q1,C359,0
AILA_Q1,C2707,0
AILA_Q1,C178,0
AILA_Q1,C487,0
AILA_Q1,C2483,0
AILA_Q1,C1305,0
AILA_Q1,C1641,0
AILA_Q1,C2482,0
AILA_Q1,C286,0
AILA_Q1,C2186,0
AILA_Q1,C255,0
AILA_Q1,C2624,0
AILA_Q1,C2065,0
AILA_Q1,C2677,0
AILA_Q1,C2680,0
AILA_Q1,C374,0
AILA_Q1,C72,0
AILA_Q1,C1374,0
AILA_Q1,C1284,0
AILA_Q1,C2210,0
AILA_Q1,C2104,0
AILA_Q1,C1396,0
AILA_Q1,C734,0
AILA_Q1,C2591,0
AILA_Q1,C516,0
AILA_Q1,C1179,0
AILA_Q1,C1412,0
AILA_Q1,C1058,0
AILA_Q1,C928,0
AILA_Q1,C720,0
AILA_Q1,C268,0
AILA_Q1,C210,0
AILA_Q1,C2531,0
AILA_Q1,C76,0
AILA_Q1,C1727,0
AILA_Q1,C1844,0
AILA_Q1,C1879,0
AILA_Q1,C2788,0
AILA_Q1,C706,0
AILA_Q1,C2703,0
AILA_Q1,C356,0
AILA_Q1,C736,0
AILA_Q1,C1694,0
AILA_Q1,C1574,0
AILA_Q1,C2309,0
AILA_Q1,C1537,0
AILA_Q1,C354,0
AILA_Q1,C2020,0
AILA_Q1,C1864,0
AILA_Q1,C1966,0
AILA_Q1,C1639,0
AILA_Q1,C991,0
AILA_Q1,C569,0
AILA_Q1,C1461,0
AILA_Q1,C1630,0
AILA_Q1,C384,0
AILA_Q1,C1481,0
AILA_Q1,C2542,0
AILA_Q1,C859,0
AILA_Q1,C1994,0
AILA_Q1,C159,0
AILA_Q1,C2045,0
AILA_Q1,C2256,0
AILA_Q1,C1375,0
AILA_Q1,C2442,0
AILA_Q1,C1897,0
AILA_Q1,C2593,0
AILA_Q1,C1169,0
AILA_Q1,C2114,0
AILA_Q1,C2214,0
AILA_Q1,C740,0
AILA_Q1,C125,0
AILA_Q1,C1291,0
AILA_Q1,C81,0
AILA_Q1,C1138,0
AILA_Q1,C2169,0
AILA_Q1,C1544,0
AILA_Q1,C2430,0
AILA_Q1,C214,0
AILA_Q1,C1344,0
AILA_Q1,C2842,0
AILA_Q1,C2850,0
AILA_Q1,C551,0
AILA_Q1,C59,0
AILA_Q1,C2907,0
AILA_Q1,C885,0
AILA_Q1,C1292,0
AILA_Q1,C2345,0
AILA_Q1,C1669,0
AILA_Q1,C1532,0
AILA_Q1,C1538,0
AILA_Q1,C1699,0
AILA_Q1,C1862,0
AILA_Q1,C2527,0
AILA_Q1,C823,0
AILA_Q1,C523,0
AILA_Q1,C1313,0
AILA_Q1,C764,0
AILA_Q1,C2247,0
AILA_Q1,C1352,0
AILA_Q1,C2897,0
AILA_Q1,C240,0
AILA_Q1,C2064,0
AILA_Q1,C1571,0
AILA_Q1,C2143,0
AILA_Q1,C64,0
AILA_Q1,C1240,0
AILA_Q1,C1873,0
AILA_Q1,C201,0
AILA_Q1,C1177,0
AILA_Q1,C2133,0
AILA_Q1,C1722,0
AILA_Q1,C110,0
AILA_Q1,C1589,0
AILA_Q1,C1857,0
AILA_Q1,C1225,0
AILA_Q1,C1621,0
AILA_Q1,C2893,0
AILA_Q1,C136,0
AILA_Q1,C1470,0
AILA_Q1,C2141,0
AILA_Q1,C762,0
AILA_Q1,C1005,0
AILA_Q1,C1737,0
AILA_Q1,C2741,0
AILA_Q1,C1429,0
AILA_Q1,C610,0
AILA_Q1,C1667,0
AILA_Q1,C412,0
AILA_Q1,C534,0
AILA_Q1,C149,0
AILA_Q1,C278,0
AILA_Q1,C1019,0
AILA_Q1,C1744,0
AILA_Q1,C2712,0
AILA_Q1,C907,0
AILA_Q1,C1743,0
AILA_Q1,C598,0
AILA_Q1,C1788,0
AILA_Q1,C1400,0
AILA_Q1,C2506,0
AILA_Q1,C216,0
AILA_Q1,C2514,0
AILA_Q1,C403,0
AILA_Q1,C2150,0
AILA_Q1,C2230,0
AILA_Q1,C308,0
AILA_Q1,C671,0
AILA_Q1,C862,0
AILA_Q1,C2785,0
AILA_Q1,C2221,0
AILA_Q1,C217,0
AILA_Q1,C1726,0
