key,content
S90,"Title: Court, if satisfied that agreement was executed in good faith, may pronounce judgment
Desc: If the Court be satisfied, after making such inquiry as it deems proper,- (a) that the agreement was duly executed by the parties, (b) that they have a substantial interest in the decision of such question as aforesaid, and (c) that the same is fit to be tried and decided, it may proceed to record and try the issue, and state its finding or opinion thereon in the same manner as if the issue had been framed by the Court; and may, upon the finding or decision on such issue, pronounce judgment according to the terms of the agreement; and, upon the judgment so given, decree shall follow and may be executed in the same way as if the judgment had been pronounced in a contested suit.
"
S9,"Title: Protection of life and personal liberty
Desc: No person shall be deprived of his life or personal liberty except according to procedure established by law.
"
S132,"Title: Power to issue, to include power to add to, amend, vary or rescind notifications, orders, rules or bye-laws
Desc: Where, by any 1 [Central Act] or Regulation, a power to 2 [issue notifications,] orders, rules or bye-laws is conferred, then that power includes a power, exercisable in the like manner and subject to the like sanction and conditions (if any), to add to, amend, vary or rescind any 3 [notifications,] orders, rules or bye-laws so 4 [issued]. Substituted by the AO 1937 for ""Act of the Governor General in Council"". Substituted by Act No. 1 of 1903 for the word ""make"". Inserted by Act No. 1 of 1903. Substituted by Act No. 1 of 1903 for the word ""made"".
"
S156,"Title: Statements to police not to be signed: Use of statements in evidence
Desc: [(1) No statement made by any person to a police officer in the course of an investigation under this Chapter, shall, if reduced to writing, be signed by the person making it; nor shall any such statement or any record thereof, whether in a police diary or otherwise, or any part of such statement or record, be used for any purpose, save as hereinafter provided, at any inquiry or trial in respect of any offence under investigation at the time when such statement was made: Provided that when any witness is called for the prosecution in such inquiry or trial whose statement has been reduced into writing as aforesaid, any part of his statement, if duly proved, may be used by the accused, and with the permission of the Court, by the prosecution, to contradict such witness in the manner provided by section 145 of the Indian Evidence Act, 1872 (1 of 1872) ; and when any part of such statement is so used, any part thereof may also be used in the re-examination of such witness, but for the purpose only of explaining any matter referred to in his cross-examination.] (2) Nothing in this section shall be deemed to apply to any statement falling within the provisions of clause (1) of section 32 of the Indian Evidence Act, 1872 (1 of 1872), or to affect the provisions of section 27 of that Act. Explanation.-An omission to state a fact or circumstance in the statement referred to in sub-section (1) may amount to contradiction if the same appears to be significant and otherwise relevant having regard to the context in which such omission occurs and whether any omission amounts to a contradiction in the particular context shall be a question of fact.
"
S128,"Title: Protection of tenant against eviction
Desc: State(s): Delhi (1) Notwithstanding anything to the contrary contained in any other law or contract, no order or decree for the recovery of possession of any premises shall be made by any curt or Controller in favor of the landlord against a tenant: Provided that the Controller may, on an application made to him in the prescribed manner, make an order for the recovery of possession of the premises on one or more of the following grounds only, namely:- (a) that the tenant has neither paid nor tendered the whole of the arrears of the rent legally recoverable from him within two months of the date on which a notice of demand for the arrears of rent has been served on him by the landlord in the manner provided in section 106 of the Transfer of Property Act, 1882; (b) that the tenant has, on or after the 9th day of June, 1952, sub-let, assigned or otherwise parted with the possession of the whole or any part of the premises without obtaining the consent in writing of the landlord; (c) that the tenant has used the premises for a purpose other than that for which they were let- (i) if the premises have been let on or after the 9th day of June, 1952, without obtaining the consent in writing of the landlord; or (ii) if the premises have been let before the said date without obtaining his consent; (d) that the premises were let for use as a resident d and neither the tenant nor any member of his family has been residing therein for a period of six months immediately before the date of the filling of the application for the recovery of possession thereof; (e) that the premises let for residential purposes are required bona fide by the landlord for occupation as a residence for himself or for any member of his family dependent on him, if he is the owner thereof, or for any person for whose benefit the premises are held and that the landlord or such person has no other reasonably suitable residential accommodation: Explanation.- For the purposes of this clause, ""premises let for residential purposes"" include any premises which having been let for use as a residence are, without the consent of the landlord, used incidentally for commercial or other purposes; (f) that the premises have become unsafe or unfit for human habitation and are required bona fide by the landlord for carrying out repairs which cannot be carried out without the premises being vacated; (g) that the premises are required bona fide by the landlord for the purpose of building or e-building or making thereto any substantial additions or alterations and that such building or re-building or addition or alteration cannot be carried out without the premises being vacated; (h) that the tenant has, whether before or after the commencement of this Act, built, acquired vacant possession of, or been allotted, a residence; (i) that the premises were elect to the tenant for use as a residence by reason of his being in the service or employment of the landlord.and that the tents has cased, whether before or after the commencement of this Act, to be in such service or employment; (j) that the tenant has, whether before or after the commencement of this Act, caused or permitted be caused substantial damage to the premised; (k) that the tenant has, notwithstanding pervious notice, used or death the premises in a manner contrary to any condition imposed on the landlord by the Government or the Delhi Development Authority or the Municipal Corporation of Delhi while giving him a lease of the land on which the premises are situate; (l) that the landlord requires the premises in order to carryout and building work at the instance of the Government or that Delhi Development Authority of the Municipal Corporation of Delhi in pursuance of any improvement scheme or development scheme and that such building work cannot be cannot be carried out without the premises being vacated. .(2) No order for the recovery of possession of any premises shall be made on the ground specified in clause (a) of the proviso to sub-section (1), if the tenant makes payment or deposit as required by section 15; Provided that no tenant shall be entitled to the benefit under this sub-section, if having, obtained such behalf once in respect of any premises, he again makes a default in the payment for rent of those premises for three consecutive months; (3) No order for the recovery of possession any proceeding under sub-section (1) shall be binding on any sub-tenant referred to in section 17 who has given notice of his sub-tenancy to the landlord under the provisions of that section, unless the sub-tenant is made a party to the proceeding and the order for eviction is made binding on him. (4) For the purposes of clause (b) of the proviso to sub-section (1), any premises which have been let for being used for the purposes of business or profession shall be deemed to have been sublet by the tenant, if the Controller is satisfied that the tenant with out obtaining the consent in writing of the landlords, has after the 16th day of August, 1958, allowed any person to occupy by whole or any part of the premises ostensibly the ground that such person is a partner of the tenant in the business or profession but really for the purpose of sub-letting such premises to that person. (5) No application for the recovery of possession of any premises shall lie under sub-section (1) on the ground specified in clause (c) of the proviso, there to, unless the landlord has given to the tenant a native in the premised manner requiring him to stop the uses of the premises and the tenant has refused or failed to comply with such requirement within one month of the date of service of the notice; and on order for eviction against the tenant shall be made in such case, unless the Controller is satisfied that the uses of the premises is of such nature that it is a public nuisance or that it causes damage to the premises or is otherwise detrimental to the interests of the landlord. (6) Where a landlord has acquired any premises by transfer, no application for the recovery of possession of such premises shall lie under sub-section (1) on the ground specified in clause (e) of the proviso thereto, unless a period of five years has elapsed from the date of the acquisition. (7) Where an order for the recovery of possession of any premises is made on the ground specified in clause (e) of the proviso to sub-section (1), the landlord shall not be entitled to obtain possession thereof before the expiration on a period of six months from the date of the order. (8) No order for the recovery of possession of any premises shall be made on the ground specified in clause (g) of the proviso t sub-section (1), unless the Controller is satisfied that the proposed reconstruction will not radically alter the purpose for which the premises were let or that such radiation is in the public interest, and that the plant ands estimates of such reconstruction have been properly prepared and that necessary funds for the purpose are available with the landlord. (9) No order for the recovery of possession of any premises shall be made on the ground specified in clause (i) of the proviso to sub-section (1)of the Controller is a of opinion that there is any bona fide dispute as to whether the tenant has ceased to be in the service of employment of the landlord. (10) No order for the recovery of possession of any premised shall be made on the ground specified in clause (i) of the proviso to sub-section (1), if the tenant, within such times as may be specified in this behalf by the Controller,.carries out repairs to the damage caused to the satisfaction of the Controller or pays to the landlord such a mount by way of compensation as the Controller may direct (11) No order for the recovery of possession of any premises shall be made on the ground specified in clause (k) of the proviso to sub-section (1), if the tenant, within such time as maybe specified in this behalf by the Controller, complies with the condition imposed on the landlord,.by any of the authorities referred to in that clause or pays to that authority such amount by way of compensation as the Controller may direct.
"
S175,"Title: Duty of the State to raise the level of nutrition and the standard of living and to improve public health
Desc: The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and of drugs which are injurious to health.
"
S45,"Title: Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth
Desc: 1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them. (2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to- (a) access to shops, public restaurants, hotels and places of public entertainment; or (b) the use of wells, tanks, bathing ghats, roads and places of public resort maintained wholly or partly out of State funds or dedicated to the use of the general public. (3) Nothing in this Article shall prevent the State from making any special provision for women and children. 1 (4) Nothing in this Article or in clause (2) of Article 29 shall prevent the State from making any special provision for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes and the Scheduled Tribes. 2 [(5) Nothing in this Article or in sub-clause (g) of clause (1) of Article 19 shall prevent the State from making any special provision, by law, for the advancement of any socially and educationally backward classes of citizens or for the Scheduled Castes or the Scheduled Tribes in so far as such special provisions relate to their admission to educational institutions including private educational institutions, whether aided or unaided by the State, other than the minority educational institutions referred to in clause (1) of Article 30.] Added by the Constitution (First Amendment) Act, 1951 , Section 2. Added by the Constitution (Ninety-third Amendment) Act, 2005, Section 2. (w.e.f. 18-6-1951)
"
S41,"Title: Using as genuine a forged document or electronic record
Desc: Whoever fraudulently or dishonestly uses as genuine any 2 [document or electronic record] which he knows or has reason to believe to be a forged 3 [document or electronic record], shall be punished in the same manner as if he had forged such 4 [document or electronic record]. Substituted by Act 21 of 2000, section 91 and Schedule, I, for ""document"" (w.e.f. 17-10-2000). Substituted by Act 21 of 2000, section 91 and Schedule, I, for ""document"" (w.e.f. 17-10-2000). Substituted by Act 21 of 2000, section 91 and Schedule, I, for ""document"" (w.e.f. 17-10-2000). Substituted by Act 21 of 2000, section 91 and Schedule, I, for ""document"" (w.e.f. 17-10-2000).
"
S148,"Title: Restrictions on trade, commerce and intercourse among States Regulation and Prohibition must be distinguished from each other
Desc: Notwithstanding anything in Article 301 or Article 303, the Legislature of a State may by law- (a) impose on goods imported from other States 1 [or the Union territories] any tax to which similar goods manufactured or produced in that State are subject, so, however, as not to discriminate between goods so imported and goods so manufactured or produced; and (b) impose such reasonable restrictions on the freedom of trade, commerce or intercourse with or within that State as may be required in the public interests: Provided that no Bill or amendment for the purposes of clause (b) shall be introduced or moved in the Legislature of a State without the previous sanction of the President. Inserted by Constitution (Seventh Amendment) Act, 1956, s. 29 and Sch. (w.e.f. 1-11-1956)
"
S118,"Title: Mischief causing damage to the amount of fifty rupees
Desc: Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.
"
